engine_id,cycle,rul,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,sensor_15,sensor_20,sensor_21
1,1,191,641.82,1589.7,1400.6,554.36,47.47,521.66,8.4195,39.06,23.419
1,2,190,642.15,1591.82,1403.14,553.75,47.49,522.28,8.4318,39.0,23.4236
1,3,189,642.35,1587.99,1404.2,554.26,47.27,522.42,8.4178,38.95,23.3442
1,4,188,642.35,1582.79,1401.87,554.45,47.13,522.86,8.3682,38.88,23.3739
1,5,187,642.37,1582.85,1406.22,554.0,47.28,522.19,8.4294,38.9,23.4044
1,6,186,642.1,1584.47,1398.37,554.67,47.16,521.68,8.4108,38.98,23.3669
1,7,185,642.48,1592.32,1397.77,554.34,47.36,522.32,8.3974,39.1,23.3774
1,8,184,642.56,1582.96,1400.97,553.85,47.24,522.47,8.4076,38.97,23.3106
1,9,183,642.12,1590.98,1394.8,553.69,47.29,521.79,8.3728,39.05,23.4066
1,10,182,641.71,1591.24,1400.46,553.59,47.03,521.79,8.4286,38.95,23.4694
1,11,181,642.28,1581.75,1400.64,554.54,47.15,521.4,8.434,38.94,23.4787
1,12,180,642.06,1583.41,1400.15,554.52,47.18,521.8,8.3938,39.06,23.366
1,13,179,643.07,1582.19,1400.83,553.44,47.38,521.85,8.4152,38.93,23.2757
1,14,178,642.35,1592.95,1399.16,554.48,47.44,521.67,8.3964,39.18,23.3826
1,15,177,642.43,1583.82,1402.13,553.64,47.3,522.5,8.4199,38.99,23.35
1,16,176,642.13,1587.98,1404.5,553.94,47.24,521.49,8.3936,38.97,23.455
1,17,175,642.58,1584.96,1399.95,553.8,47.12,521.89,8.4542,38.81,23.3319
1,18,174,642.62,1591.04,1396.12,554.2,47.21,521.76,8.4028,38.89,23.3987
1,19,173,641.79,1587.56,1400.35,554.18,47.4,521.89,8.4321,38.8,23.3464
1,20,172,643.04,1581.11,1405.23,554.81,47.22,522.07,8.421,39.03,23.422
1,21,171,642.37,1586.07,1398.13,554.08,47.15,522.42,8.4049,39.09,23.3101
1,22,170,642.77,1592.93,1400.57,553.63,47.24,522.0,8.4034,38.92,23.3792
